well_id,average_rmse,median_rmse,minimum_rmse,maximum_rmse,average_mae,n_rows,fold
f49fdea3,114.24514810279763,76.96590216401263,54.55782264531488,248.4909654378504,101.35686342114275,7027,2
739a914f,113.2073428390411,110.23440007492616,72.35008998322172,160.0104812230904,89.8151904424852,7319,2
c99f9fae,113.05785448063916,84.19482480132251,61.18943326266265,222.652335057249,105.84548132018865,8394,4
01982c1d,112.57536780305205,113.91209883430412,31.170116775802096,191.3071567677979,93.5022100679378,5587,2
ff0aea78,112.09680058929297,96.37597040462478,47.91256667148579,207.72269487643652,102.96867984724896,4976,3
940e709a,111.8223894224821,132.4819414961189,22.954920658565324,159.37075403912527,102.32914159997523,4989,2
39b51819,111.72417516304603,139.11450465288559,19.841499755625417,148.82619159078754,92.92536885468554,6382,5
8c167025,111.54245793521505,109.20806950536272,62.36396609530898,165.38972663482585,76.44985815730452,7113,4
ac6f01d5,111.43519222076523,98.21476605324824,85.90929281651418,163.40194396005026,87.71111802561158,6729,4
aed44918,111.22116185289353,89.06709790647402,73.54370955855423,193.20674204007187,101.04023397097308,4020,5
28473855,111.0536745957535,123.71738795606674,23.01270714225258,173.76721532862794,95.51177680249113,6620,5
896d15b9,109.81192987489368,106.78709163171865,98.11713156261858,127.55640467351884,91.95045614340287,5698,1
63559d57,109.75961592585934,58.025154012093964,12.922007689566952,310.06614798968246,98.91320947898069,5810,3
2f19d536,109.29742590331166,94.72977419864489,37.365232828458026,210.36492238749884,97.65078300664642,4744,3
5a1a8fd8,108.63704870295656,76.49358591616404,23.679183556210578,257.8818394232876,97.94724406427477,6814,1
9283ae69,108.3022453592212,119.75623574445936,39.0654376543655,154.63107229360062,96.39962290492721,5118,2
9ab94eeb,107.82373644465656,130.05343631303296,29.445096768027874,141.74297638453245,90.61053834126064,6372,5
1bcb2fcf,107.3320501830286,113.60003153245373,83.09978727659393,119.02835039061297,93.26454277962497,6202,4
d07aed8f,106.14803846110935,109.54233662114838,81.83899792795347,123.66848267418717,98.64864197682397,4709,3
a0383629,105.52048988834287,118.57828545834018,33.68409665107736,151.24129198561377,98.29471211450088,7687,3
35b30c7f,104.87996369150812,112.10932910487776,66.98329927515098,128.317897281126,84.0171011521708,11270,3
8382f4b6,103.95482876932351,114.79420930208232,28.726353729636184,157.5045427434932,80.94154904861126,6680,5
dd168de0,103.87697981383118,119.31218541551813,9.857644574704997,167.0259038495835,95.71758745988798,5095,2
8cc21f01,103.26724555110573,112.92612603567483,55.79954187892005,131.4171882541532,93.27527535747328,5806,4
4c3168cf,102.5557883970054,69.42065115494174,40.63270991355527,230.7491413645829,91.4372339432272,5959,5
c9e980e8,100.37132745692564,97.62233692833405,5.964691385985154,200.27594458504933,85.77683992278341,6262,3
61f27424,99.3573623833517,82.51920434451685,8.49477912680523,223.89626171756788,79.19725871354107,8341,3
a5e6f7dc,98.26301672489255,96.36706816679725,85.33098423907002,114.98694632690568,67.07571403988206,7331,5
3a0af893,98.26215672714426,95.40408208808176,86.00333794132993,116.23712479108357,87.87819937305659,4580,1
efe96181,97.78367881004102,100.09113020861342,78.91516145637321,112.03729336656403,72.95830996447056,5464,3
fb73b13a,97.67219299703638,100.49840194542958,70.21775276908546,119.47421532820086,79.97404540592603,7465,1
2d35f86d,97.19094821632939,77.06627828021323,13.944698946462422,220.68653735842867,77.91859502979301,6628,3
2bff06cf,96.9004863479065,91.9013240127606,38.56394371740786,165.23535364869693,79.92791729132188,9174,5
46a301e9,96.69188287323705,75.19603657575368,58.57324471090949,177.80221363053136,86.27105246813706,9962,2
47ee27ab,96.5573993317102,91.81401329370162,35.69310185514192,166.90846888429562,75.17971299298127,8274,3
12203f2a,93.94840179589103,57.28920075783398,45.47148762034651,215.74371804754966,84.83282443000778,4991,1
647f2a41,93.6280610002089,88.63577858049678,16.888042441331628,180.35264439851045,77.95825197165384,5836,2
e0079ed1,92.2563087796591,89.47435282558985,74.10542301416722,115.97110645328947,81.53967863928013,5257,3
fb3848a1,92.21807310701757,92.36058987142027,61.01966501916725,123.13144766606251,76.41286531907426,7859,3
4630ab92,91.39511223216431,91.01010099402677,72.80430651875736,110.7559404218463,73.95754978133246,5307,5
e201fd6d,91.35253234166584,86.04547277574491,25.37446610637998,167.94471770879352,85.38210685740734,6912,1
9a6b0392,90.33305665426013,88.73951093431538,56.793779112259486,127.05942563615028,78.89068230585026,5802,3
19fb4f7b,89.52490100981846,89.9010267167342,65.89716267896114,112.40038792684432,64.73896554703033,7923,5
e2fc7745,89.3398761647799,53.74187004479177,24.18492647126943,225.69083809826662,76.75063509752604,5343,3
6d6d93af,89.01114299635785,74.19980898871691,58.59571672781627,149.04923728018127,71.73640865428197,5305,3
f021b650,88.6773294278358,91.73061780674468,75.92490908427408,95.32317301357979,84.1236017145942,5610,5
0390d174,87.86779830146503,61.313774861450796,45.64820833880782,183.19543514415068,73.3689551164883,6101,3
c2717d4f,86.06256089707347,45.86617330349455,28.995080555845426,223.52281642545935,81.39034627555581,6682,2
26623a50,86.0027714876177,77.82253336819313,38.883090890898366,149.48292832318614,73.67137700086596,7479,2
516088b7,85.50003012142756,55.368731716326224,38.00524829904297,193.2574087540148,80.44622926564563,8300,1
000d7d20,84.69828824330828,39.141295511875114,12.729587496178686,247.78097445330422,81.23910440706332,5278,4
89f36adf,84.06919960118975,62.47819013774646,58.42182218862878,152.89859594063734,77.13869930758253,7041,2
a645da9a,83.91586385260837,80.82784572785192,55.98546563959479,118.02229831513479,70.29520026507006,6766,3
230eaaa3,83.76161997136839,50.13706294364307,27.303481258771495,207.4688727394159,74.20966741035149,6451,4
da2d4d7c,83.40661502600153,52.2060346700346,40.32741284883277,188.88697791510415,79.31290714845316,3567,2
e4726608,83.1759847545077,49.970170623142785,11.221934285900145,221.54166348584505,74.43779979917431,6268,4
27ebb9b9,82.5415197962578,85.47258980479117,53.04911101782889,106.17178855762002,78.69814254892245,7651,1
353e5502,82.47264155057205,74.2420276248292,51.43247303999894,129.97403791263085,73.32393786880296,7901,3
1944513c,81.76878616750187,42.27180946730311,23.91921008997074,218.61231564543056,78.29783360861887,6599,2
a959858c,81.51195130744637,67.51538644841294,50.01649797206574,141.00053436089385,69.97596540457475,5770,4
f56d3ace,81.31653514938776,50.152245705702455,42.59476855117622,182.36688063496993,76.66515426884959,7383,4
4a335117,81.07781037602807,69.49187425449708,26.10813050882264,159.2193624862955,71.41322603858032,6727,3
0d99f8e4,80.68465557408987,93.8001047599348,9.223508982131333,125.91490379435854,60.196013052060536,7522,4
4a8ecc0b,80.3441739250117,83.9863530090833,60.95059151935671,92.4533981625235,70.90655970913593,7374,2
5d7198fd,80.07116437371505,82.5342801947274,26.571416600412988,128.64468050499238,71.84987539974071,4797,4
1285a37b,79.47320600298752,80.88680291313082,64.66754620160414,91.45167198408436,61.08752166731526,7403,5
3ef98781,79.22492860461247,26.904696016195693,13.36329771022866,249.72702467582985,74.1793350557319,5343,3
bd4ae5da,79.03874430189032,80.4416495002243,47.671662567378036,107.60001563973466,64.53046503174986,6905,4
71ccf778,78.99029464451682,33.01021314885941,12.850957195768943,237.08979508457955,74.25816110943383,4623,5
06df5958,78.9439699783881,84.41449050749031,40.42788060970596,106.51901828886582,69.27282579520063,5039,4
1e30dedf,78.70541339213156,85.37831599912954,40.81393636378143,103.25108520648571,65.21779591921504,5474,1
dc7f9757,78.36808241774881,51.066129817168274,17.388335493725254,193.95173454293342,74.71052070131084,6203,3
261785ee,78.21454477252522,83.50500355842777,48.38981725186791,97.4583547213774,72.93724314966198,5512,1
eabc711b,78.15731973376515,52.27919030756247,15.08552273791118,192.98537558202446,67.39906594362627,7314,4
37344c2a,78.04675508870548,72.07641214236484,23.537035403921823,144.49716066617043,67.53742999591593,6943,3
99529c45,77.66872482015631,71.75813512220631,40.87767136888523,126.2809576673274,68.25224989973461,7591,4
bb682ebd,77.38727361178151,61.84779633108536,31.778372950654372,154.07512883430095,66.71379591255042,5931,2
86454a6f,77.27109995791932,78.01758659805833,50.49287647992144,102.55635015563914,64.02769839825655,9100,5
368131f9,77.21599622742555,53.202527682984524,18.71374230157375,183.7451872421594,66.61477871114216,6568,1
eb934281,77.18110637584455,80.02492153867898,35.740170877831105,112.93441154818913,65.9899190248603,7812,5
45fb3e21,76.55564546399077,55.39895442913914,22.11657879598446,173.30809420170038,70.55071349767341,5626,1
9a95e33f,76.39762352541315,76.04143588091402,42.54195155842088,110.9656707814037,60.016947308705305,8156,4
91abc4c7,76.36156616407153,59.579997639750616,50.40310953419909,135.88315984258583,64.16098174812845,7787,3
