well_id,Bias_Formation_Marker_Baseline,Bias_Last_Known_TVT,Bias_Linear_Extrapolation_10,Bias_Linear_Extrapolation_100,Bias_Linear_Extrapolation_50,Bias_Z_to_TVT_Linear_Model,MAE_Formation_Marker_Baseline,MAE_Last_Known_TVT,MAE_Linear_Extrapolation_10,MAE_Linear_Extrapolation_100,MAE_Linear_Extrapolation_50,MAE_Z_to_TVT_Linear_Model,RMSE_Formation_Marker_Baseline,RMSE_Last_Known_TVT,RMSE_Linear_Extrapolation_10,RMSE_Linear_Extrapolation_100,RMSE_Linear_Extrapolation_50,RMSE_Z_to_TVT_Linear_Model
13f598d9_,1532.5301560862167,-14.003202846974638,191.69991836310987,176.5838772610713,190.94542788535827,-142.8691220020042,1532.5301560862167,14.003202846974638,191.70533811773498,176.6186860869305,190.9518306081117,142.8691220020042,1730.2284476478444,15.16858992587756,226.26756936270587,208.83188149928785,225.39723095985062,159.1281594935404
14a53cb3_,2203.319518331093,-7.667499638676098,-63.44689357799319,-117.42725361405954,-91.0215164455354,-100.1882455341776,2203.319518331093,7.6706156959098015,63.44689357799319,117.42725361405954,91.0215164455354,100.1882455341776,2486.1657330362336,8.94761773897247,71.56546010169683,133.79022376628484,103.3358654581981,112.42907982299727
14ab73fb_,-175.5842985591228,13.023165250754353,0.7458925225104354,-7.315537119490001,-12.646894773222575,4.6852462962720836,306.4396214462706,13.023165250754353,7.688137422482519,11.54175689971197,15.396266108893863,11.881617909505042,357.25181395021247,14.81915286795364,9.763368623811978,15.241354083621678,20.44690034615507,13.498087793495959
14ad5efb_,874.2789857007178,-1.0379082505986044,-1.03790825127606,18.193678488135262,2.058250453096922,154.06993052933808,874.2789857007178,5.136004792878963,5.136004793354186,18.193678488135262,3.8858500185268685,154.06993052933808,972.5991669913271,6.298504340917485,6.2985043412877975,20.008562098106665,5.579615922600759,170.30369498222896
14fee784_,771.2641888524469,13.19070672097817,-8.387929643033958,-31.521789678653096,-27.380166748384713,-114.62632420035577,771.2641888524469,17.724824847250833,15.982505338610967,31.52922305592178,27.704500943492082,114.62632420035577,883.2579511784697,21.419815878785553,24.117201689437337,45.74217018950276,41.43692596745209,130.12366058594125
153552f5_,728.0354233104971,2.433103301383496,-22.32762397098754,-38.13622259117494,-40.84789357742627,-99.96683062761595,728.312974016366,4.055646432374504,22.329825539387272,38.13622259117494,40.84789357742627,99.96683062761595,835.872335710369,5.161441840641978,24.628584628081803,42.800216695930295,45.92372511664222,110.16952767665666
1550491d_,647.7405737765012,19.81009642778932,29.90621764061637,32.31583984217057,30.977377100060213,-128.95511117583513,647.7405737765012,19.816561472715875,29.90622149241509,32.31583984217057,30.97737765949503,128.95511117583513,719.0468062277803,21.167156242041475,32.18390487145681,34.87487039956692,33.378283298220744,142.54692305823897
155887bb_,824.601662159519,-8.566302596238465,-138.5677571407411,-117.03710421637855,-147.09910259619267,-82.09470732026229,841.4252730818243,10.329951656220976,138.57149338229803,117.07026615822015,147.09910302591516,82.09470732026229,970.5882833378897,11.793313793912793,160.65015278663122,135.80682455215188,170.4954909844859,90.8449246278848
1590af81_,657.1406594340727,-2.074645959462466,46.40414191891062,68.60056556167123,69.3735653250305,-102.24346506853668,657.1406594340727,4.827322979731312,46.4685224018166,68.60056556167123,69.3735653250305,102.24346506853668,723.5898492773189,5.560887269871239,55.57603353068104,81.11779311402361,82.00827126443288,111.34838546008672
15e154a1_,872.2798112341951,-22.048216875411637,116.80314676218272,126.815631099391,122.60089741027103,85.56974097031282,872.2798112341951,22.048216875411637,117.06912416972548,126.93878223498565,122.78027559176157,85.56974097031282,998.9035591845641,23.22648490243106,141.47674322005992,152.99428375843567,148.1451758319108,96.4042476748869
1619e2ca_,603.558553139679,-2.8404839072707917,-149.49248390781023,-17.273150573951373,-66.22910239472242,74.95462406619983,603.558553139679,6.565543551654492,149.49248660868804,17.906565617142853,66.25925408343291,74.95462406619983,676.0378071220676,7.812315673810556,172.56864037230486,21.017043407520475,76.61727067279273,82.38843754323192
16e4a047_,744.4580300795295,10.375904139433532,-114.46058070881787,-70.00928589957931,-118.7121409986649,-53.56236786153729,744.4580300795295,10.375904139433532,114.46058070881787,70.05990119465997,118.7121409986649,53.56236786153729,879.0558690976828,10.715407020528387,134.51166666081565,83.2341546007809,139.4179475416829,62.90274289246061
173ed841_,1435.088985762093,-13.871103829613146,10.548896170306941,25.5961001307979,7.915171320524688,-111.70437138058129,1435.0911822742682,14.848126151955919,11.228318656501116,25.5961001307979,9.52355440677143,111.70437138058129,1617.4312191452511,17.58051747694951,15.749385738313402,31.657283557025803,13.346456028406234,124.95713228063255
1770d7c6_,1215.4844455147204,-8.808783149171921,44.0724592739619,41.821079647125856,45.53957243288178,-164.6057919166539,1215.4844455147204,10.730482044199373,44.072465769860116,41.821109941486796,45.53957518284365,164.6057919166539,1367.8208670931353,12.332849608315879,55.96683985885386,53.41755934030522,57.63049876037987,183.24998164251951
