well_id,rmse,mae,n_rows,model
81bf5923,32.1093540008006,27.386981119791667,3000,last_known_tvt
8382f4b6,25.760792091446525,18.5998779296875,3000,last_known_tvt
85380836,10.18779955834258,7.707260091145834,3000,last_known_tvt
86454a6f,53.188115115256515,45.19646484375,3000,last_known_tvt
87aa3730,8.470517989007407,6.851422200520833,3000,last_known_tvt
89969c7a,10.87032811938362,8.560174281301062,2448,last_known_tvt
89f36adf,5.290866995314987,3.747849609375,3000,last_known_tvt
89fdb2f2,1.9292612256186803,1.1775319602272727,2750,last_known_tvt
8c8348e8,5.534819301980852,4.163345016982242,2337,last_known_tvt
8d5d46d7,11.029627854553024,9.037197591145834,3000,last_known_tvt
939d9c34,15.491218595517818,12.733111979166667,3000,last_known_tvt
940a48d9,10.790705452331947,8.516370442708334,3000,last_known_tvt
95c8427f,20.21919902897607,16.545665364583332,3000,last_known_tvt
96936c22,4.2614107466323485,3.5686822916666667,3000,last_known_tvt
9a6b0392,7.730976004837511,5.7123896484375,3000,last_known_tvt
9ae248be,8.162362807105747,7.362158854166666,3000,last_known_tvt
9b9e3b49,8.191805603547547,6.931555013020834,3000,last_known_tvt
9bd2bba3,11.573894203925509,9.341903645833334,3000,last_known_tvt
9d3ec64c,8.95046737272834,7.6310107421875,3000,last_known_tvt
9ffce529,10.412066115459833,8.822234700520834,3000,last_known_tvt
a15bc102,2.729133677819016,2.0404734414329377,2781,last_known_tvt
a2e8e7f6,10.682254093430814,8.941142252604166,3000,last_known_tvt
a4cdbb0f,15.09782528723229,12.274042643229167,3000,last_known_tvt
a692b17e,11.47965766287694,9.572815198216164,2852,last_known_tvt
a6b8ac67,8.605134610976553,6.463027948124755,2553,last_known_tvt
a6ed2eff,9.514535567685291,7.642837565104166,3000,last_known_tvt
a9c9b150,0.9434869973312578,0.6932295410816982,2956,last_known_tvt
ab112491,24.986046278411834,21.089222005208335,3000,last_known_tvt
ab94878e,4.626917339108527,3.2089714672630287,2648,last_known_tvt
abf460d2,8.906074093496962,7.5767451171875,3000,last_known_tvt
ad2133a8,24.106937149885667,20.930138997395833,3000,last_known_tvt
b4d8dd4f,24.64692720085389,19.154961147442897,2977,last_known_tvt
b8c49c1a,12.676401609301521,10.4156103515625,3000,last_known_tvt
ba48188d,51.83058067791194,39.67934602864583,3000,last_known_tvt
c03d4aed,10.569342999807917,8.2404560546875,3000,last_known_tvt
c1708b88,17.61897764608494,15.3663369140625,3000,last_known_tvt
c42fe306,10.147493288846324,7.809980751811594,2553,last_known_tvt
c50b42f6,7.832943499140968,6.296057564871652,2688,last_known_tvt
c84c65be,9.029640945813593,7.3106943359375,3000,last_known_tvt
c9e6734f,10.960320433862647,9.438326497395833,3000,last_known_tvt
c9fedcf3,6.59586729618027,5.8836589682844,2282,last_known_tvt
cbb406b5,8.830307724041472,6.711235026041667,3000,last_known_tvt
cda7eb37,8.708427374404621,6.293865502624858,2643,last_known_tvt
d00e7eb9,7.296083421420382,6.358127278645833,3000,last_known_tvt
d0a0e7b5,9.202681750450436,7.84062711998862,2856,last_known_tvt
d217e0c5,6.468649300915995,5.3692968252810775,2357,last_known_tvt
d273674e,3.3283560175943263,2.690353515625,3000,last_known_tvt
d463e527,12.050027388848905,10.3568701171875,3000,last_known_tvt
d63196fe,15.985062853158606,13.34848112143157,2382,last_known_tvt
d6c320d9,9.044542645717451,7.469553385416667,3000,last_known_tvt
d7eb0be8,26.39610363778612,21.022408722999806,2581,last_known_tvt
da3bfe4e,28.545513337893382,25.961958658854165,3000,last_known_tvt
ddc790ff,5.483118947703188,4.707354662196356,2470,last_known_tvt
e14d641e,8.623433175486495,5.9075703125,3000,last_known_tvt
e161bd0c,54.29839587543364,39.52266015625,3000,last_known_tvt
e3b34f5b,8.759524890720352,7.18492682934175,2594,last_known_tvt
e45a2a62,17.683248249161462,14.4866748046875,3000,last_known_tvt
