well_id,model,rmse,mae,n_rows
5beded95,Linear Regression,108.8882598750333,108.46106379149074,4779
5cb483ac,Linear Regression,64.33643107723383,63.245143455727664,5206
5cdd8dbc,Linear Regression,126.15630523620409,124.53610364736427,5751
5d11dfb5,Linear Regression,25.810851880301428,24.08933329193566,7643
5d7198fd,Linear Regression,26.571416600412988,25.340537394669987,4797
5def1ce5,Linear Regression,34.52916209191837,33.268657064899024,7997
5eae34a8,Linear Regression,187.08957246911612,186.63338533832584,6652
5f4d2a52,Linear Regression,163.8433704704278,163.45146875778002,7112
5f6756c5,Linear Regression,136.37826180268027,135.64946665366665,8064
5f75f796,Linear Regression,29.028102610046513,16.959438669889693,7324
5fb1c15f,Linear Regression,33.567522407091616,32.591625737335214,4857
5fffa282,Linear Regression,84.69549824796903,84.32974182130111,6223
60e37807,Linear Regression,105.38532689527645,104.82371000641265,4641
61f27424,Linear Regression,29.230113618098358,26.65348867771399,8341
62569ae3,Linear Regression,18.766979617719056,17.86967226840672,5242
62a6f539,Linear Regression,66.19403049741952,65.07750487469907,5253
633774dc,Linear Regression,53.410578456385764,52.97706962542843,7972
63559d57,Linear Regression,310.06614798968246,309.7353678026461,5810
647f2a41,Linear Regression,180.35264439851045,180.21560937742473,5836
65156b96,Linear Regression,93.80328376581102,89.91380586622768,5046
653612bc,Linear Regression,34.111284503095895,26.597311107711125,5946
656a067b,Linear Regression,165.69503969270434,165.56696450232528,4896
65a5466a,Linear Regression,104.61220839364448,103.93184182441883,6117
660d9546,Linear Regression,19.138745707543723,15.17932978206809,6140
6767c111,Linear Regression,40.946063176930565,36.123002201712666,8354
67847288,Linear Regression,20.151912994798145,12.0542631730498,9174
67a8da4a,Linear Regression,174.27847361277847,173.11229026645265,6645
684a6fc1,Linear Regression,55.81061753586994,53.68260412025836,11449
698930d1,Linear Regression,171.54393063608717,171.43748284939107,6498
699ea575,Linear Regression,72.01237837611673,71.23875301590094,5474
69c1bdad,Linear Regression,206.19420680650185,206.08588821463317,4645
69e41fa6,Linear Regression,34.51642529771744,31.716989365037808,7167
6a0ff78e,Linear Regression,6.769313181897546,4.648184693149627,7890
6a8fa194,Linear Regression,299.5901044350929,298.69228729966335,4657
6ae68655,Linear Regression,230.49301223086138,229.12252268608714,5948
6d1d74e1,Linear Regression,26.475968478136785,20.974862443508083,7316
6d590e26,Linear Regression,120.88087120974808,120.79654090323368,7842
6d6d93af,Linear Regression,75.14968500515032,72.21737494213548,5305
6dbe4b60,Linear Regression,107.93396103587064,107.72023974767889,6673
6e6d122c,Linear Regression,25.779064891215377,25.305087798957675,7083
6e9ccd38,Linear Regression,46.77526880394589,43.79661551039786,9619
6ea22614,Linear Regression,24.405034539312936,21.61809792061691,7894
6ede926a,Linear Regression,15.825009010937762,14.993828181365355,6621
708caea9,Linear Regression,38.15001992101207,33.65652847669228,8482
70925e23,Linear Regression,111.40690818806493,108.5249777017705,8072
70e1788b,Linear Regression,24.256397324383002,22.255327453647563,11338
71642c7d,Linear Regression,21.776679682722744,19.62404273632388,6657
71ccf778,Linear Regression,237.08979508457955,236.60481527766945,4623
7224331b,Linear Regression,77.30224254182511,74.05249539883853,7566
722cf0d8,Linear Regression,21.695011582341856,15.365547231738228,7275
7256229b,Linear Regression,85.24121230850835,84.00312257816827,6972
726f3dc2,Linear Regression,202.3130879890881,202.23042692768442,8619
7271dd80,Linear Regression,17.906571676546942,13.022134307074225,5765
727a3a10,Linear Regression,74.59285968239557,70.25730092172165,6342
729665c0,Linear Regression,171.84647346792562,171.65076646978505,5775
729e9750,Linear Regression,19.893071361555997,17.70635796473889,7427
729f4217,Linear Regression,10.07323220539643,8.356331763263173,7592
72dd8501,Linear Regression,156.622430411414,156.32787618564168,6928
73348914,Linear Regression,51.39557951264668,47.925658012443,5686
739a914f,Linear Regression,145.36852101198596,144.59947472662589,7319
73b1447d,Linear Regression,20.395174088835716,16.417668405542987,7522
74b6186b,Linear Regression,55.35734788857537,54.5552698234104,5148
75c20ec7,Linear Regression,29.657107602438934,27.903417536106645,7205
75cd5f11,Linear Regression,7.383717099606123,4.607015316188405,6410
75d20a82,Linear Regression,128.10571192851205,127.60043795195521,7002
76201745,Linear Regression,86.98595913829601,84.10997383336615,5858
764072a5,Linear Regression,18.26016487572003,17.01781308527634,4594
77b0d905,Linear Regression,60.28726545210719,59.80537019621153,5923
77e4821c,Linear Regression,62.68759236356465,61.91896118017938,6540
7850c72e,Linear Regression,46.47492645028779,34.65425166542973,7712
78a4a386,Linear Regression,140.01568322184534,139.8382249810979,6246
79507629,Linear Regression,130.0527544171247,128.577004661892,7320
796dbd4c,Linear Regression,27.745432059033906,25.282108176244247,8069
7987f2f2,Linear Regression,315.76140843730946,315.3655407377196,5714
7993a768,Linear Regression,108.99983652998785,108.26062228642823,7047
7a5660b0,Linear Regression,19.80454303517919,16.341856990068962,6936
7acda2df,Linear Regression,61.23028703219424,60.68668227008628,4552
7b2c7b3c,Linear Regression,92.4101754168272,92.21602327277685,4231
7b38844c,Linear Regression,93.77877938911945,92.77724510203493,5197
7bb17b96,Linear Regression,87.84054249902432,87.36771366854306,5295
7c607683,Linear Regression,11.530518230432637,7.883538438495443,7001
7cbbd047,Linear Regression,134.86688566605028,134.2716021676711,6790
7cd4bb31,Linear Regression,10.87434460471973,9.403812845017097,7959
7d50373e,Linear Regression,64.98323839485911,64.12072482626107,6494
7d57c75d,Linear Regression,76.18389469735658,74.17895057803915,6147
7e208414,Linear Regression,131.45803424704258,130.76901639210035,5732
7e721392,Linear Regression,144.30666586543268,141.29271358865805,8301
7ff89f8f,Linear Regression,35.9329230981136,32.91660530770182,9539
8050c789,Linear Regression,35.94589231524523,32.56784242770452,4940
807f0298,Linear Regression,31.692259127823625,23.21337877396647,5499
811f52b3,Linear Regression,7.75778110764598,6.032003448584127,6674
81bf5923,Linear Regression,45.098494395929656,37.734864393807875,6386
81fc01c6,Linear Regression,12.680176886890198,11.061239802525561,7655
8255c867,Linear Regression,80.79912224006415,79.7041124762616,5338
82aab6d2,Linear Regression,16.083863241099525,11.699908475706858,7889
82fcf37c,Linear Regression,42.459008815505214,38.534652577090725,7397
833af382,Linear Regression,113.11225447799252,111.2419642024009,5377
8382f4b6,Linear Regression,157.5045427434932,156.97287546650625,6680
